periode,jeunes,actifs,seniors,"
"

2017,3800314,12503309,12587937,"
"

2016,3763845,12564941,12280355,"
"

2015,3744164,12619886,11962670,"
"

2014,3740764,12661223,11642313,"
"

2013,3746507,12702878,11312496,"
"

2012,3765361,12735225,10978874,"
"

2011,3808990,12732131,10655919,"
"

2010,3859168,12730998,10324453,"
"

2009,3888444,12742422,10001334,"
"

2008,3910224,12765168,9674388,"
"

2007,3953430,12753468,9360461,"
"

2006,4001831,12743992,9039117,"
"

2005,4054487,12731845,8716188,"
"

2004,4081447,12755519,8383133,"
"

2003,4093727,12800716,8043238,"
"

2002,4113181,12841131,7700948,"
"

2001,4125550,12908619,7338671,"
"

2000,4158294,12957759,6974367,"
"

1999,4197030,13024512,6586458,"
"

