periode,croissance,"
"
2017,1.7,"
"
2016,1.1,"
"
2015,1.0,"
"
2014,1.0,"
"
2013,0.6,"
"
2012,0.2,"
"
2011,2.1,"
"
2010,1.9,"
"
2009,-2.9,"
"
2008,0.1,"
"
2007,2.3,"
"
2006,2.5,"
"
2005,1.6,"
"
2004,2.6,"
"
2003,0.9,"
"
2002,1.1,"
"
2001,2.0,"
"
2000,4.0,"
"
1999,3.3,"
"
1998,3.6,"
"
1997,2.3,"
"
1996,1.4,"
"
1995,2.2,"
"
1994,2.3,"
"
1993,-0.5,"
"
1992,1.5,"
"
1991,1.0,"
"
1990,2.9,"
"
1989,4.5,"
"
1988,4.6,"
"
1987,2.6,"
"
1986,2.3,"
"
1985,1.7,"
"
1984,1.6,"
"
1983,1.3,"
"
1982,2.4,"
"
1981,1.1,"
"
1980,1.5,"
"
1979,3.5,"
"
