periode,pib,"
"
2016,2122073,"
"
2015,2097166,"
"
2014,2075016,"
"
2013,2055538,"
"
2012,2043761,"
"
2011,2040034,"
"
2010,1998481,"
"
2009,1959955,"
"
2008,2019351,"
"
2007,2015415,"
"
2006,1968919,"
"
2005,1923243,"
"
2004,1892812,"
"
2003,1841500,"
"
2002,1826531,"
"
2001,1806328,"
"
2000,1771701,"
"
1999,1705606,"
"
1998,1649409,"
"
1997,1592767,"
"
1996,1556389,"
"
1995,1535082,"
"
1994,1503728,"
"
1993,1469268,"
"
1992,1478325,"
"
1991,1455049,"
"
1990,1440085,"
"
1989,1399309,"
"
1988,1340935,"
"
1987,1280325,"
"
1986,1248156,"
"
1985,1219483,"
"
1984,1200004,"
"
1983,1181985,"
"
1982,1167320,"
"
1981,1138754,"
"
1980,1126612,"
"
1979,1108999,"
"
1978,1070885,"
"
1977,1029907,"
"
1976,995547,"
"
1975,954373,"
"
1974,963820,"
"
1973,924161,"
"
1972,869304,"
"
1971,831539,"
"
1970,789343,"
"
1969,743805,"
"
1968,694375,"
"
1967,664566,"
"
1966,633415,"
"
1965,601895,"
"
1964,574123,"
"
1963,538337,"
"
1962,506828,"
"
1961,474389,"
"
1960,451924,"
"
1959,418500,"
"
1958,407637,"
"
1957,396988,"
"
1956,376219,"
"
1955,358329,"
"
1954,340248,"
"
1953,322284,"
"
1952,311509,"
"
1951,302109,"
"
1950,285593,"
"
